generationSystem,fixtureId,candidateIndex,runIndex,formatValid,originalThreeStage,fourStage,expectedIndex,reached,startDeltaMs,endDeltaMs,startAbsoluteDeltaMs,endAbsoluteDeltaMs,bothWithin3000,bothWithin5000
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,46,1,true,reach,reach,9,true,-7226,3000,7226,3000,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,46,2,true,reach,reach,9,true,-7226,3000,7226,3000,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,46,3,true,reach,reach,9,true,-7226,3000,7226,3000,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,52,1,true,reach,reach,11,true,-21475,0,21475,0,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,52,2,true,reach,reach,11,true,-21475,0,21475,0,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,52,3,true,reach,reach,11,true,-21475,0,21475,0,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,53,1,true,reach,reach,12,true,-26909,60318,26909,60318,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,53,2,true,reach,reach,12,true,-26909,25911,26909,25911,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,53,3,true,reach,reach,12,true,-26909,60318,26909,60318,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,87,1,true,reach,reach,13,true,-21489,-25623,21489,25623,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,87,2,false,miss,miss,13,false,,,,,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,87,3,true,reach,reach,13,true,-21489,-25623,21489,25623,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,88,1,true,reach,reach,13,true,9732,18029,9732,18029,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,88,2,true,reach,reach,13,true,9732,18029,9732,18029,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,88,3,true,reach,reach,13,true,9732,18029,9732,18029,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,5,1,true,reach,reach,6,true,-137085,62808,137085,62808,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,5,2,true,reach,reach,6,true,-137085,62808,137085,62808,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,5,3,true,reach,reach,6,true,-137085,62808,137085,62808,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,9,1,true,reach,reach,7,true,-2761,137891,2761,137891,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,9,2,true,reach,reach,7,true,-2761,137891,2761,137891,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,9,3,true,reach,reach,7,true,-2761,137891,2761,137891,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,13,1,true,reach,reach,8,true,-135681,26190,135681,26190,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,13,2,true,reach,reach,8,true,-135681,26190,135681,26190,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,13,3,true,reach,reach,8,true,-135681,26190,135681,26190,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,14,1,true,reach,reach,9,true,-17465,36441,17465,36441,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,14,2,true,reach,reach,9,true,-17465,36441,17465,36441,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,14,3,true,reach,reach,9,true,-17465,36441,17465,36441,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,1,true,reach,reach,10,true,-6925,169219,6925,169219,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,1,true,reach,reach,11,true,-32093,140450,32093,140450,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,1,true,reach,reach,12,true,-72714,100388,72714,100388,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,1,true,reach,reach,13,true,-166500,10825,166500,10825,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,2,false,miss,miss,10,false,,,,,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,2,false,miss,miss,11,false,,,,,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,2,false,miss,miss,12,false,,,,,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,2,false,miss,miss,13,false,,,,,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,3,true,reach,reach,10,true,-6925,169219,6925,169219,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,3,true,reach,reach,11,true,-32093,140450,32093,140450,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,3,true,reach,reach,12,true,-72714,100388,72714,100388,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,3,true,reach,reach,13,true,-166500,10825,166500,10825,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,22,1,true,reach,reach,14,true,-13246,7463,13246,7463,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,22,2,true,reach,reach,14,true,-13246,7463,13246,7463,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,22,3,true,reach,reach,14,true,-13246,7463,13246,7463,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,28,1,true,reach,reach,15,true,-7405,61501,7405,61501,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,28,2,true,reach,reach,15,true,-7405,61501,7405,61501,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,28,3,true,reach,reach,15,true,-560573,61501,560573,61501,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,30,1,true,reach,reach,16,true,-1140,12908,1140,12908,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,30,2,true,reach,reach,16,true,-1140,12908,1140,12908,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,30,3,true,reach,reach,16,true,-1140,12908,1140,12908,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,44,1,true,reach,reach,20,true,-23888,87356,23888,87356,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,44,2,true,reach,reach,20,true,-23888,87356,23888,87356,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,44,3,true,reach,reach,20,true,-23888,87356,23888,87356,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,52,1,true,reach,reach,23,true,-17972,88898,17972,88898,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,52,2,true,reach,reach,23,true,-17972,88898,17972,88898,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,52,3,true,reach,reach,23,true,-17972,88898,17972,88898,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,54,1,true,reach,reach,24,true,-14050,13448,14050,13448,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,54,2,true,reach,reach,24,true,-14050,13448,14050,13448,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,54,3,true,reach,reach,24,true,-14050,13448,14050,13448,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,59,1,true,reach,reach,25,true,-29120,55822,29120,55822,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,59,2,true,reach,reach,25,true,-29120,55822,29120,55822,false,false
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,59,3,true,reach,reach,25,true,-30902,55822,30902,55822,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,2,1,true,reach,reach,1,true,-19866,64493,19866,64493,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,2,2,true,reach,reach,1,true,-19866,64493,19866,64493,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,2,3,true,reach,reach,1,true,-19866,64493,19866,64493,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,3,1,true,reach,reach,2,true,-46720,4682,46720,4682,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,3,2,true,reach,reach,2,true,-46720,4682,46720,4682,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,3,3,true,reach,reach,2,true,-46720,4682,46720,4682,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,17,1,true,reach,reach,3,true,-31985,24505,31985,24505,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,17,2,true,reach,reach,3,true,-43744,24505,43744,24505,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,17,3,true,reach,reach,3,true,-127748,24505,127748,24505,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,32,1,false,miss,miss,4,false,,,,,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,32,2,true,reach,reach,4,true,0,41466,0,41466,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,32,3,true,reach,reach,4,true,0,41466,0,41466,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,35,1,true,reach,reach,5,true,-5904,5144,5904,5144,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,35,2,true,reach,reach,5,true,-5904,5144,5904,5144,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,35,3,true,reach,reach,5,true,-5904,5144,5904,5144,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,37,1,true,reach,reach,6,true,-220,48427,220,48427,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,37,2,true,reach,reach,6,true,-220,48427,220,48427,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,37,3,true,reach,reach,6,true,-220,48427,220,48427,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,39,1,true,reach,reach,7,true,-33234,53716,33234,53716,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,39,2,true,reach,reach,7,true,-33234,18881,33234,18881,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,39,3,true,reach,reach,7,true,-33234,53716,33234,53716,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,41,1,true,reach,reach,8,true,-7425,34132,7425,34132,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,41,2,true,reach,reach,8,true,-7425,34132,7425,34132,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,41,3,true,reach,reach,8,true,-7425,34132,7425,34132,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,46,1,true,reach,reach,9,true,-7226,3000,7226,3000,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,46,2,true,reach,reach,9,true,-7226,3000,7226,3000,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,46,3,true,reach,reach,9,true,-7226,3000,7226,3000,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,52,1,true,reach,reach,11,true,-21475,0,21475,0,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,52,2,true,reach,reach,11,true,-21475,0,21475,0,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,52,3,true,reach,reach,11,true,-21475,55585,21475,55585,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,53,1,true,reach,reach,12,true,-26909,60318,26909,60318,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,53,2,true,reach,reach,12,true,-26909,60318,26909,60318,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,53,3,true,reach,reach,12,true,-26909,60318,26909,60318,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,87,1,true,reach,reach,13,true,-21489,-25623,21489,25623,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,87,2,true,reach,reach,13,true,-21489,-25623,21489,25623,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,87,3,true,reach,reach,13,true,-21489,-25623,21489,25623,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,88,1,true,reach,reach,13,true,8103,18029,8103,18029,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,88,2,true,reach,reach,13,true,9732,18029,9732,18029,false,false
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,88,3,true,reach,reach,13,true,9732,18029,9732,18029,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,5,1,true,reach,reach,6,true,-137085,69136,137085,69136,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,5,2,true,reach,reach,6,true,-137085,62808,137085,62808,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,5,3,true,reach,reach,6,true,-137085,62808,137085,62808,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,9,1,true,reach,reach,7,true,-2761,325012,2761,325012,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,9,2,true,reach,reach,7,true,-2761,137891,2761,137891,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,9,3,true,reach,reach,7,true,-2761,137891,2761,137891,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,13,1,true,reach,reach,8,true,-135681,97177,135681,97177,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,13,2,true,reach,reach,8,true,-135681,81325,135681,81325,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,13,3,true,reach,reach,8,true,-135681,81325,135681,81325,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,14,1,true,reach,reach,9,true,-50778,36441,50778,36441,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,14,2,true,reach,reach,9,true,-50778,36441,50778,36441,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,14,3,true,reach,reach,9,true,-50778,36441,50778,36441,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,1,true,reach,reach,10,true,-111329,169219,111329,169219,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,1,true,reach,reach,11,true,-136497,140450,136497,140450,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,1,true,reach,reach,12,true,-177118,100388,177118,100388,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,1,true,reach,reach,13,true,-270904,10825,270904,10825,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,2,true,reach,reach,10,true,-111329,169219,111329,169219,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,2,true,reach,reach,11,true,-136497,140450,136497,140450,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,2,true,reach,reach,12,true,-177118,100388,177118,100388,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,2,true,reach,reach,13,true,-270904,10825,270904,10825,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,3,true,reach,reach,10,true,-6925,169219,6925,169219,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,3,true,reach,reach,11,true,-32093,140450,32093,140450,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,3,true,reach,reach,12,true,-72714,100388,72714,100388,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,3,true,reach,reach,13,true,-166500,10825,166500,10825,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,22,1,true,reach,reach,14,true,-43166,33267,43166,33267,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,22,2,true,reach,reach,14,true,-43166,9995,43166,9995,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,22,3,true,reach,reach,14,true,-43166,33267,43166,33267,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,28,1,true,reach,reach,15,true,-7405,61501,7405,61501,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,28,2,true,reach,reach,15,true,-7405,61501,7405,61501,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,28,3,true,reach,reach,15,true,-7405,61501,7405,61501,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,30,1,true,reach,reach,16,true,-41632,12908,41632,12908,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,30,2,true,reach,reach,16,true,-15269,12908,15269,12908,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,30,3,true,reach,reach,16,true,-15269,12908,15269,12908,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,44,1,true,reach,reach,20,true,-23888,87356,23888,87356,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,44,2,true,reach,reach,20,true,-23888,87356,23888,87356,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,44,3,true,reach,reach,20,true,-23888,87356,23888,87356,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,52,1,true,reach,reach,23,true,-17972,88898,17972,88898,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,52,2,true,reach,reach,23,true,-17972,88898,17972,88898,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,52,3,true,reach,reach,23,true,-17972,88898,17972,88898,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,54,1,true,reach,reach,24,true,-14050,13448,14050,13448,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,54,2,true,reach,reach,24,true,-14050,13448,14050,13448,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,54,3,true,reach,reach,24,true,-14050,13448,14050,13448,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,59,1,true,reach,reach,25,true,-55768,55822,55768,55822,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,59,2,true,reach,reach,25,true,-55768,55822,55768,55822,false,false
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,59,3,true,reach,reach,25,true,-55768,55822,55768,55822,false,false
