generationSystem,fixtureId,candidateIndex,runIndex,formatValid,originalThreeStage,fourStage,targetCount,reachedTargetCount,startDeltasMsByExpected,endDeltasMsByExpected
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,44,2,true,reach,reach,1,1,20:-23888,20:87356
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,44,3,true,reach,reach,1,1,20:-23888,20:87356
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,52,1,true,reach,reach,1,1,23:-17972,23:88898
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,52,2,true,reach,reach,1,1,23:-17972,23:88898
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,52,3,true,reach,reach,1,1,23:-17972,23:88898
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,54,1,true,reach,reach,1,1,24:-14050,24:13448
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,54,2,true,reach,reach,1,1,24:-14050,24:13448
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,54,3,true,reach,reach,1,1,24:-14050,24:13448
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,59,1,true,reach,reach,1,1,25:-29120,25:55822
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,59,2,true,reach,reach,1,1,25:-29120,25:55822
llm-v012@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,59,3,true,reach,reach,1,1,25:-30902,25:55822
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,2,1,true,reach,reach,1,1,1:-19866,1:64493
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,2,2,true,reach,reach,1,1,1:-19866,1:64493
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,2,3,true,reach,reach,1,1,1:-19866,1:64493
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,3,1,true,reach,reach,1,1,2:-46720,2:4682
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,3,2,true,reach,reach,1,1,2:-46720,2:4682
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,3,3,true,reach,reach,1,1,2:-46720,2:4682
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,17,1,true,reach,reach,1,1,3:-31985,3:24505
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,17,2,true,reach,reach,1,1,3:-43744,3:24505
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,17,3,true,reach,reach,1,1,3:-127748,3:24505
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,32,1,false,miss,miss,1,0,4:unreached,4:unreached
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,32,2,true,reach,reach,1,1,4:0,4:41466
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,32,3,true,reach,reach,1,1,4:0,4:41466
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,35,1,true,reach,reach,1,1,5:-5904,5:5144
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,35,2,true,reach,reach,1,1,5:-5904,5:5144
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,35,3,true,reach,reach,1,1,5:-5904,5:5144
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,37,1,true,reach,reach,1,1,6:-220,6:48427
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,37,2,true,reach,reach,1,1,6:-220,6:48427
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,37,3,true,reach,reach,1,1,6:-220,6:48427
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,39,1,true,reach,reach,1,1,7:-33234,7:53716
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,39,2,true,reach,reach,1,1,7:-33234,7:18881
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,39,3,true,reach,reach,1,1,7:-33234,7:53716
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,41,1,true,reach,reach,1,1,8:-7425,8:34132
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,41,2,true,reach,reach,1,1,8:-7425,8:34132
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,41,3,true,reach,reach,1,1,8:-7425,8:34132
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,46,1,true,reach,reach,1,1,9:-7226,9:3000
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,46,2,true,reach,reach,1,1,9:-7226,9:3000
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,46,3,true,reach,reach,1,1,9:-7226,9:3000
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,52,1,true,reach,reach,1,1,11:-21475,11:0
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,52,2,true,reach,reach,1,1,11:-21475,11:0
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,52,3,true,reach,reach,1,1,11:-21475,11:55585
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,53,1,true,reach,reach,1,1,12:-26909,12:60318
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,53,2,true,reach,reach,1,1,12:-26909,12:60318
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,53,3,true,reach,reach,1,1,12:-26909,12:60318
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,87,1,true,reach,reach,1,1,13:-21489,13:-25623
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,87,2,true,reach,reach,1,1,13:-21489,13:-25623
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,87,3,true,reach,reach,1,1,13:-21489,13:-25623
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,88,1,true,reach,reach,1,1,13:8103,13:18029
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,88,2,true,reach,reach,1,1,13:9732,13:18029
llm-v013@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,88,3,true,reach,reach,1,1,13:9732,13:18029
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,5,1,true,reach,reach,1,1,6:-137085,6:69136
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,5,2,true,reach,reach,1,1,6:-137085,6:62808
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,5,3,true,reach,reach,1,1,6:-137085,6:62808
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,9,1,true,reach,reach,1,1,7:-2761,7:325012
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,9,2,true,reach,reach,1,1,7:-2761,7:137891
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,9,3,true,reach,reach,1,1,7:-2761,7:137891
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,13,1,true,reach,reach,1,1,8:-135681,8:97177
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,13,2,true,reach,reach,1,1,8:-135681,8:81325
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,13,3,true,reach,reach,1,1,8:-135681,8:81325
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,14,1,true,reach,reach,1,1,9:-50778,9:36441
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,14,2,true,reach,reach,1,1,9:-50778,9:36441
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,14,3,true,reach,reach,1,1,9:-50778,9:36441
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,1,true,reach,reach,4,4,10:-111329;11:-136497;12:-177118;13:-270904,10:169219;11:140450;12:100388;13:10825
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,2,true,reach,reach,4,4,10:-111329;11:-136497;12:-177118;13:-270904,10:169219;11:140450;12:100388;13:10825
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,16,3,true,reach,reach,4,4,10:-6925;11:-32093;12:-72714;13:-166500,10:169219;11:140450;12:100388;13:10825
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,22,1,true,reach,reach,1,1,14:-43166,14:33267
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,22,2,true,reach,reach,1,1,14:-43166,14:9995
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,22,3,true,reach,reach,1,1,14:-43166,14:33267
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,28,1,true,reach,reach,1,1,15:-7405,15:61501
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,28,2,true,reach,reach,1,1,15:-7405,15:61501
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,28,3,true,reach,reach,1,1,15:-7405,15:61501
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,30,1,true,reach,reach,1,1,16:-41632,16:12908
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,30,2,true,reach,reach,1,1,16:-15269,16:12908
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,30,3,true,reach,reach,1,1,16:-15269,16:12908
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,44,1,true,reach,reach,1,1,20:-23888,20:87356
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,44,2,true,reach,reach,1,1,20:-23888,20:87356
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,44,3,true,reach,reach,1,1,20:-23888,20:87356
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,52,1,true,reach,reach,1,1,23:-17972,23:88898
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,52,2,true,reach,reach,1,1,23:-17972,23:88898
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,52,3,true,reach,reach,1,1,23:-17972,23:88898
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,54,1,true,reach,reach,1,1,24:-14050,24:13448
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,54,2,true,reach,reach,1,1,24:-14050,24:13448
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,54,3,true,reach,reach,1,1,24:-14050,24:13448
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,59,1,true,reach,reach,1,1,25:-55768,25:55822
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,59,2,true,reach,reach,1,1,25:-55768,25:55822
llm-v013@gemini-web-flash,9dtwF5Exu5w_multiblock_material_v001,59,3,true,reach,reach,1,1,25:-55768,25:55822
